Date,Price,Volume
2019-11-23,3.165,13
2019-11-24,3.19,19
2019-11-25,3.009,12
2019-11-26,3.133,14
2019-11-27,3.315,20
2019-11-28,3.109,12
2019-11-29,3.56,20
2019-11-30,3.516,14
2019-12-01,3.292,17
2019-12-02,3.245,13
2019-12-03,3.328,13
2019-12-04,2.964,10
2019-12-05,3.281,9
2019-12-06,3.296,22
2019-12-07,3.679,31
2019-12-08,3.859,9
2019-12-09,3.903,7
2019-12-10,4.024,10
2019-12-11,3.738,9
2019-12-12,3.87,16
2019-12-13,4.005,25
2019-12-14,4.046,24
2019-12-15,3.973,31
2019-12-16,4.155,27
2019-12-17,4.172,22
2019-12-18,4.039,13
2019-12-19,3.989,16
2019-12-20,4.049,35
2019-12-21,3.833,15
2019-12-22,3.96,22
2019-12-23,3.967,16
2019-12-24,3.969,27
2019-12-25,3.922,50
2019-12-26,4.091,36
2019-12-27,3.982,9
2019-12-28,4.16,16
2019-12-29,4.064,11
2019-12-30,4.108,9
2019-12-31,3.883,11
2020-01-01,3.828,17
2020-01-02,3.936,17
2020-01-03,3.993,24
2020-01-04,3.93,11
2020-01-05,3.98,36
2020-01-06,4.156,14
2020-01-07,4.33,15
2020-01-08,4.237,16
2020-01-09,4.189,15
2020-01-10,4.32,11
2020-01-11,4.489,14
2020-01-12,4.251,8
2020-01-13,4.398,15
2020-01-14,4.451,14
2020-01-15,5.033,66
2020-01-16,9.082,104
2020-01-17,11.343,100
2020-01-18,11.08,58
2020-01-19,13.515,97
2020-01-20,11.463,57
2020-01-21,12.914,22
2020-01-22,12.736,15
2020-01-23,10.699,18
2020-01-24,11.119,40
2020-01-25,9.586,18
2020-01-26,6.155,13
2020-01-27,6.153,17
2020-01-28,5.87,28
2020-01-29,5.569,14
2020-01-30,5.462,27
2020-01-31,5.554,13
2020-02-01,5.56,18
2020-02-02,5.293,12
2020-02-03,5.501,17
2020-02-04,5.671,25
2020-02-05,5.809,18
2020-02-06,6.093,16
2020-02-07,5.885,9
2020-02-08,5.824,22
2020-02-09,5.935,18
2020-02-10,6.168,12
2020-02-11,6.115,24
2020-02-12,5.69,9
2020-02-13,6.31,20
2020-02-14,5.913,12
2020-02-15,5.806,29
2020-02-16,6.155,59
2020-02-17,6.172,15
2020-02-18,5.956,15
2020-02-19,6.201,14
2020-02-20,6.252,13
2020-02-21,6.173,20
2020-02-22,5.86,12
2020-02-23,6.184,22
2020-02-24,6.27,38
2020-02-25,6.377,19
2020-02-26,6.12,8
2020-02-27,6.33,18
2020-02-28,6.228,7
2020-02-29,6.049,37
2020-03-01,8.003,107
2020-03-02,7.885,41
2020-03-03,7.059,5
2020-03-04,7.381,26
2020-03-05,7.105,37
2020-03-06,7.158,60
2020-03-07,7.774,96
2020-03-08,7.445,65
2020-03-09,6.681,10
2020-03-10,6.53,10
2020-03-11,6.336,19
2020-03-12,6.516,20
2020-03-13,6.491,16
2020-03-14,6.086,16
2020-03-15,5.845,31
2020-03-16,5.583,10
2020-03-17,5.375,15
2020-03-18,5.519,21
2020-03-19,5.687,13
2020-03-20,5.636,18
2020-03-21,5.89,30
2020-03-22,5.786,14
2020-03-23,5.618,17
2020-03-24,5.513,17
2020-03-25,5.536,18
2020-03-26,5.429,23
2020-03-27,5.586,19
2020-03-28,5.462,15
2020-03-29,5.629,48
2020-03-30,5.51,32
2020-03-31,5.355,33
2020-04-01,5.227,33
2020-04-02,5.481,40
2020-04-03,5.53,34
2020-04-04,5.413,23
2020-04-05,5.314,30
2020-04-06,5.698,32
2020-04-07,5.715,14
2020-04-08,5.756,31
2020-04-09,5.611,41
2020-04-10,5.662,38
2020-04-11,5.936,29
2020-04-12,5.777,33
2020-04-13,5.776,26
2020-04-14,5.841,31
2020-04-15,5.922,28
2020-04-16,5.889,30
2020-04-17,5.795,23
2020-04-18,5.864,32
2020-04-19,5.663,21
2020-04-20,5.957,42
2020-04-21,6.12,55
2020-04-22,5.885,32
2020-04-23,6.329,18
2020-04-24,6.356,42
2020-04-25,6.54,24
2020-04-26,6.185,24
2020-04-27,6.281,19
2020-04-28,6.313,24
2020-04-29,6.295,16
2020-04-30,6.351,17
2020-05-01,6.356,27
2020-05-02,6.885,32
2020-05-03,6.548,13
2020-05-04,6.44,19
2020-05-05,6.562,11
2020-05-06,6.589,6
2020-05-07,6.431,9
2020-05-08,6.923,17
2020-05-09,7.039,16
2020-05-10,6.624,17
2020-05-11,6.515,18
2020-05-12,6.562,9
2020-05-13,6.515,22
2020-05-14,6.49,20
2020-05-15,6.669,15
2020-05-16,7.183,17
2020-05-17,7.185,22
2020-05-18,7.096,14
2020-05-19,6.963,15
2020-05-20,6.946,12
2020-05-21,7.128,6
2020-05-22,6.822,16
2020-05-23,7.056,10
2020-05-24,7.091,21
2020-05-25,7.033,40
2020-05-26,6.666,14
2020-05-27,6.88,15
2020-05-28,6.83,12
2020-05-29,6.431,24
2020-05-30,7.146,23
2020-05-31,6.871,8
2020-06-01,6.964,15
2020-06-02,7.135,30
2020-06-03,7.123,19
2020-06-04,7.325,19
2020-06-05,7.176,26
2020-06-06,7.335,13
2020-06-07,7.705,23
2020-06-08,8.194,21
2020-06-09,8.021,17
2020-06-10,7.969,18
2020-06-11,8.065,6
